1116,9999,3,1,2
1086,9999,1,2,3
1080,1046,1,3,4
1046,1080,0,0,0
1090,1083,1,4,3
1083,1090,1,4,3
1022,1147,2,3,4
1114,1004,1,2,3
1092,9999,3,4,5
1138,1072,1,5,3
1072,1138,0,0,0
1004,1114,1,2,3
1063,1113,0,0,0
1113,1063,5,4,7
1124,1001,4,3,2
1135,1089,3,1,4
1016,1130,2,5,1
1018,1109,3,2,4
1082,1047,3,5,4
1047,1082,3,5,4
1120,9999,3,4,5
1089,1135,3,1,4
1109,1018,3,2,4
1147,1022,2,3,4
1002,1068,3,4,1
1068,1002,3,4,1
1132,1075,4,2,1
1060,1054,4,1,3
1023,1077,3,1,2
1100,1078,0,0,0
1105,1067,2,3,4
1067,1105,2,3,4
1078,1100,4,2,1
1075,1132,0,0,0
1130,1016,0,0,0
1097,1059,1,4,5
1059,1097,0,0,0
1136,1042,4,3,1
1042,1136,4,3,1
1049,1026,3,4,2
1109,1018,3,2,4
1024,1028,2,1,3
1118,1066,1,3,4
1066,1118,1,3,4
1001,1124,0,0,0
1102,1005,0,0,0
1140,9999,7,0,0
1005,1102,1,2,7
1054,1060,0,0,0
1019,1037,4,1,3
1037,1019,0,0,0
1121,1052,5,1,4
1000,1131,3,4,1
1069,9999,2,3,1
1139,1044,2,1,3
1044,1139,2,1,3
1131,1000,3,4,1
1104,1146,4,3,1
1115,1056,1,3,4
1056,1115,1,3,4
1035,1076,2,4,5
1076,1035,0,0,0
1088,1029,0,0,0
1029,1088,3,1,2
1096,1103,1,7,3
1103,1096,0,0,0
1091,9999,2,4,1
1079,1127,3,4,1
1127,1079,3,4,1
1108,1043,3,2,4
1142,1025,3,1,4
1123,1039,2,1,3
1039,1123,0,0,0
1027,9999,2,1,4
1021,9999,1,7,2
1011,1038,1,3,4
1038,1011,1,3,4
1070,9999,3,4,5
1148,1107,3,1,2
1107,1148,3,1,2
1058,1012,3,2,1
1137,1095,7,3,4
1009,9999,3,4,1
1145,1006,2,4,3
1007,1055,2,1,4
1006,1145,2,4,3
1043,1108,3,4,2
1055,1007,2,1,4
1134,1003,0,0,0
1015,9999,4,2,7
1087,1073,1,3,4
1073,1087,1,3,4
1013,9999,1,2,3
1008,1093,3,7,2
1036,9999,1,4,3
1062,1125,4,1,3
1143,1030,2,4,1
1081,1141,4,3,5
1141,1081,4,3,5
1030,1143,2,4,1
1034,9999,0,0,0
1061,1041,6,3,4
1106,1071,1,3,8
1125,1062,1,3,4
1074,1057,1,4,3
1017,9999,2,1,3
1052,1121,0,0,0
1057,1074,1,4,7
1053,9999,3,4,2
1085,1122,1,3,4
1122,1085,1,3,4
1064,1117,3,4,1
1112,9999,1,3,4
1146,1104,4,7,3
1133,1092,3,4,8
1117,1064,3,4,1
1101,9999,4,3,2
1050,1099,0,0,0
1099,1050,3,1,4
1031,9999,1,3,2
1119,9999,4,3,2
1144,1129,1,4,3
1129,1144,1,4,3
1014,1009,1,3,4
1003,1134,7,6,1
1065,9999,1,4,3
1111,1010,1,8,3
1010,1111,1,8,3
1033,1126,1,4,3
1094,1148,8,4,3
1048,9999,1,4,6
1126,1033,4,1,3
1110,9999,1,3,4
1026,1049,3,4,2
1028,1024,2,1,3
1095,1137,7,3,4
1110,1034,1,3,4
1034,1110,1,3,4
